customer_id,gender,region,age,product_name,category,unit_price,quantity,total_price,shipping_fee,shipping_status,order_date
CUST0293,Male,South,32.0,Laptop,Electronics,1500.0,3,4500,8.53,Returned,2023-11-17
CUST0078,Female,East,38.0,Monitor,Electronics,300.0,1,300,7.57,Delivered,2023-02-07
CUST0290,Female,,37.0,Headphones,Accessories,100.0,3,300,5.29,Returned,2023-09-30
CUST0130,Female,West,68.0,Smartwatch,Wearables,200.0,3,600,5.65,In Transit,2023-08-18
CUST0186,Female,East,55.0,Smartwatch,Wearables,200.0,5,1000,18.29,Delivered,2023-01-10
CUST0164,Male,South,50.0,Monitor,Electronics,300.0,3,900,11.22,In Transit,2023-03-16
CUST0024,Female,,57.0,Monitor,Electronics,300.0,2,600,15.59,Returned,2023-09-02
CUST0006,Female,East,,Smartwatch,Wearables,200.0,3,600,13.94,Delivered,2023-04-07
CUST0124,Female,North,53.0,Monitor,Electronics,300.0,1,300,16.32,Delivered,2023-08-16
CUST0060,Female,West,41.0,Headphones,Accessories,100.0,5,500,18.06,Delivered,2023-03-15
CUST0046,Female,North,22.0,Mouse,Accessories,30.0,1,30,8.96,Returned,2023-03-03
CUST0280,Male,South,44.0,Smartwatch,Wearables,200.0,4,800,6.43,,2023-03-03
CUST0012,Male,South,28.0,Headphones,Accessories,100.0,3,300,17.16,Returned,2023-08-10
CUST0095,Male,East,60.0,Mouse,Accessories,30.0,3,90,18.42,Delivered,2023-01-25
CUST0279,Female,,,Mouse,Accessories,30.0,2,60,11.28,Returned,2023-09-19
CUST0158,Female,,51.0,Monitor,Electronics,300.0,4,1200,6.91,In Transit,2023-09-13
CUST0193,Male,South,64.0,Keyboard,Accessories,50.0,4,200,17.18,In Transit,2023-11-06
CUST0270,Male,East,64.0,Keyboard,Accessories,50.0,1,50,18.23,Delivered,2023-05-24
CUST0005,Female,East,56.0,Mouse,Accessories,30.0,2,60,7.58,In Transit,2023-02-15
